Time (seconds),acceleration_of_rep,timestamp
4.06,-900,1
4.16,-1092,1
4.22,-1284,1
4.28,-1400,1
4.34,-1208,1
4.40,-1340,1
4.46,-1392,1
4.52,-1488,1
4.58,-1328,1
4.64,-1132,1
4.70,-1232,1
4.76,-1596,1
4.82,-1592,1
4.88,-1404,1
4.94,-1340,1
5.00,-1224,1
5.06,-1116,1
5.16,-960,1
5.22,-952,1
5.28,-988,1
5.34,-1004,1
5.40,-896,1
5.46,-704,1
5.52,-664,1
5.57,-736,1
5.64,-892,1
5.70,-1056,1
5.76,-1068,1
5.82,-1132,1
5.88,-1104,1
5.94,-1052,1
6.00,-1136,1
6.06,-1060,1
6.12,-1128,1
6.18,-1076,1
6.24,-1044,1
6.30,-1068,1
6.39,-1028,1
6.45,-1072,1
Time (seconds),acceleration_of_rep,timestamp,time,avg_acc,velocity
48.61,,,2452,-1125.333,-2759.317
51.78,-788,1,,,
51.84,-664,1,,,
51.90,-856,1,,,
51.96,-1312,1,,,
52.02,-1136,1,,,
52.08,-1336,1,,,
52.14,-1332,1,,,
52.20,-1404,1,,,
52.30,-1244,1,,,
52.36,-1180,1,,,
52.42,-1220,1,,,
52.48,-1164,1,,,
52.54,-1164,1,,,
52.60,-1328,1,,,
52.66,-1532,1,,,
52.72,-1564,1,,,
52.77,-1432,1,,,
52.84,-1344,1,,,
52.90,-1276,1,,,
52.95,-1136,1,,,
53.02,-1028,1,,,
53.08,-1072,1,,,
53.14,-952,1,,,
53.23,-980,1,,,
53.29,-992,1,,,
53.35,-996,1,,,
53.41,-976,1,,,
53.47,-964,1,,,
53.53,-924,1,,,
53.59,-880,1,,,
53.65,-804,1,,,
53.71,-880,1,,,
53.77,-1064,1,,,
53.83,-1088,1,,,
53.89,-1104,1,,,
53.95,-1064,1,,,
54.01,-1092,1,,,
54.07,-1116,1,,,
54.13,-1128,1,,,
54.23,-1072,1,,,
54.29,-1048,1,,,
54.35,-1020,1,,,
54.41,-1072,1,,,
54.47,-1048,1,,,
97.23,,,2747,-1108.545,-3045.174
100.64,-1288,1,,,
100.70,-1696,1,,,
100.76,-1304,1,,,
100.82,-1504,1,,,
100.88,-1508,1,,,
100.94,-1372,1,,,
100.99,-1208,1,,,
101.09,-1344,1,,,
101.15,-1468,1,,,
101.21,-1568,1,,,
101.27,-1640,1,,,
101.33,-1612,1,,,
101.39,-1488,1,,,
101.45,-1188,1,,,
101.51,-1196,1,,,
101.57,-1156,1,,,
101.63,-1048,1,,,
101.69,-1024,1,,,
101.75,-908,1,,,
101.81,-912,1,,,
101.87,-832,1,,,
101.93,-812,1,,,
102.03,-848,1,,,
102.09,-872,1,,,
102.15,-1016,1,,,
102.21,-992,1,,,
102.27,-1044,1,,,
102.33,-1080,1,,,
102.39,-1092,1,,,
102.45,-1024,1,,,
102.51,-1088,1,,,
144.52,,,1930,-1197.806,-2311.766
